,exp #,gen #,CHIR99021,SP600125,Dexameth,rhGM-CSF,rhSCF,rhIGF-1,AA,Y27632,ALB,FN,GL,CH,ITS,bME,PY,rep ct #1,rep ct #2,rep ct #3,rep ct #4,mean (rep ct),PC fold chg,count threshold,normalized cell count,Col26 (mean+1),Col27 (log Col26),Residual Col27 Exp#1,Residual Col27 Exp#2,Residual Col27 Exp#3,Col32 (log foldchg w/ +threshold),Col33 (std dev),Col34 (Col32+noise),Penicillin (units/mL),Streptomycin (µg/mL),CHIR99021 (µM),SP600125 (µM),Dexamethasone (nM),Recombinant Human GM-CSF (rhGM-CSF) (ng/mL),Recombinant Human SCF (rhSCF) (ng/mL),Recombinant Human IGF-1 (rhIGF-1) (ng/mL),Ascorbic Acid (AA) (µM),Y27632 (µM),Albumin (ALB) (mg/mL),Fibronectin (FN) (µg/mL),GlutaMAX Supplement (GL) (mM),Cholesterol Concentrate (CH) (µg/mL),ITS Supplement,Sodium Pyruvate (PY) (mM),β-mercaptoethanol (bME) (µM),CHIR Component A (µM),CHIR Component B (µM),SP600125 Active (µM),SP600125 Inactive (µM),Dex Active (nM),Dex Inactive (nM),IGF-1 Active (ng/mL),IGF-1 Inactive (ng/mL),Insulin (µg/mL),Transferrin (µg/mL),Selenium (ng/mL),bME Active (µM),bME Inactive (µM)
57,1,1,5,4,4,4,4,0,1,2,5,1,0,0,1,0,0,83.33333333,16.66666667,50.0,33.33333333,45.833333332500004,11.79277778,50.0,3.886559569555461,46.833333332500004,1.6705550695137086,0.013201881166102991,,,-2.1945746647534707,0.4980266,-2.1945746647534707,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
58,1,1,5,1,2,2,2,4,4,3,2,0,3,4,3,3,3,483.3333333,33.33333333,0.0,0.0,129.1666666575,11.79277778,50.0,10.953031513623587,130.1666666575,2.1144997834630725,0.21270317167812558,,,-1.9228340452099204,0.4980266,-1.9228340452099204,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
59,1,1,5,5,5,0,2,4,2,3,1,5,5,0,2,3,0,0.0,0.0,0.0,0.0,0.0,11.79277778,50.0,0.0,1.0,0.0,1.1059512704565542,,,-2.4771212547196626,0.4980266,-1.6133467068690885,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
60,1,1,2,0,2,1,0,2,0,5,5,2,5,0,3,1,2,883.3333333,950.0,733.3333333,1150.0,929.16666665,11.79277778,50.0,78.79116218282543,930.16666665,2.968560772125235,-0.014254223982432368,,,-1.1852346385029433,0.4980266,-1.1852346385029433,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
61,1,1,5,0,5,4,1,1,2,1,2,4,5,3,3,3,2,33.33333333,0.0,0.0,0.0,8.3333333325,11.79277778,50.0,0.7066471944068127,9.3333333325,0.9700367765837805,-0.8748021748960793,,,-2.4101744650952535,0.4980266,-2.4101744650952535,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
62,1,1,0,2,4,0,5,1,5,3,0,5,2,0,2,1,0,33.33333333,116.6666667,66.66666667,50.0,66.666666675,11.79277778,50.0,5.653177556526466,67.666666675,1.830374783247035,0.5909724450590155,,,-2.109144469394047,0.4980266,-2.109144469394047,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
63,1,1,2,2,3,4,1,0,4,5,0,0,5,1,1,2,1,4983.333333,5166.666667,5450.0,4633.333333,5058.33333325,11.79277778,50.0,428.93484704076224,5059.33333325,3.7040932937635986,-0.264909911106618,,,-0.4678120305919758,0.4980266,-0.4678120305919758,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
64,1,1,5,0,3,3,1,0,2,2,1,3,0,1,2,2,3,50.0,0.0,0.0,0.0,12.5,11.79277778,50.0,1.059970791716216,13.5,1.130333768495006,-1.3873047466991353,,,-2.380211241711606,0.4980266,-2.380211241711606,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
65,1,1,3,1,4,4,0,4,3,1,0,5,4,1,3,3,3,933.3333333,1466.666667,1350.0,1950.0,1425.0000000750001,11.79277778,50.0,120.83667026200845,1426.0000000750001,3.1541195255386882,0.04647239228191946,,,-1.0072992387194166,0.4980266,-1.0072992387194166,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
66,1,1,4,5,5,0,5,5,4,4,5,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,11.79277778,50.0,0.0,1.0,0.0,-0.594276356502942,,,-2.4771212547196626,0.4980266,-0.6678591536737173,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
