,Round,Arginine,Glutamine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophane,Tyrosine,Valine,Cystine,Choline,Calcium pantothenate,Folic acid,Niacinamide,Pyridoxal,Riboflavin,Thiamine,Inositol,CaCl2,MgSO4,KCl,NaHCO3,NaCl ,NaH2PO4,Glucose,FBS,mean A450,sd A450
21,0,0.6,2.0,10.0,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.484666666666666,0.0864908472999697
22,0,0.6,2.0,0.2,0.0,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.161666666666666,0.0518523544949182
23,0,0.6,2.0,0.2,0.04,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.01966666666666,0.179103322135576
24,0,0.6,2.0,0.2,4.0,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.28033333333333,0.16685589258066
25,0,0.6,2.0,0.2,10.0,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.087,0.0418754767800386
26,0,0.6,2.0,0.2,0.4,0.0,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.0,0.0219696760710454
27,0,0.6,2.0,0.2,0.4,0.04,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.09666666666666,0.16177831196493
28,0,0.6,2.0,0.2,0.4,4.0,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.69066666666666,0.190952582828535
29,0,0.6,2.0,0.2,0.4,10.0,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.09266666666666,0.151240059361121
30,0,0.6,2.0,0.2,0.4,0.4,0.0,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.632999999999999,0.105786997730765
31,0,0.6,2.0,0.2,0.4,0.4,0.04,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.38866666666666,0.0757554545157567
32,0,0.6,2.0,0.2,0.4,0.4,4.0,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.08433333333333,0.190541334098404
33,0,0.6,2.0,0.2,0.4,0.4,16.0,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.00566666666666665,0.0131993265821488
34,0,0.6,2.0,0.2,0.4,0.4,0.4,0.0,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.585666666666666,0.0246891789161882
35,0,0.6,2.0,0.2,0.4,0.4,0.4,0.01,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.12433333333333,0.188610710194304
36,0,0.6,2.0,0.2,0.4,0.4,0.4,1.0,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.19566666666666,0.131909901911199
37,0,0.6,2.0,0.2,0.4,0.4,0.4,10.0,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.379,0.101512998620319
38,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.0,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.882333333333333,0.206902553552793
39,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.02,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.42166666666666,0.0865345146298414
40,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,2.0,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.288,0.191802560520505
41,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,10.0,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.554666666666666,0.295684892335667
