,exp#,gen #,bME,LS1000,PY,ITS,ALB,MEMAA,ARG,GLU,CB6,IL-2,IL-12,IL-18,IL-21,VS,Cell count,FoldChg,PosCont FC,PC-norm FC,log foldchg,Penicillin (units/mL),Streptomycin (µg/mL),Human Serum Albumin (HSA) (mg/mL),CD3/CD28/CD2 Activator,Sodium Pyruvate (PY) (mM),Insulin (µg/mL),Transferrin (µg/mL),Selenium (ng/mL),MEM Non-Essential Amino Acids (MEMAA) (mM),L-Arginine (ARG) (mM),SG-200 Solution (GLU) (mM),IL-2 (IU/mL),IL-12 (ng/mL),IL-18 (ng/mL),IL-21 (ng/mL),MEM Vitamin Solution (VS),PY Component 1 (mM),PY Component 2 (mM),HSA Fraction 1 (mg/mL),HSA Fraction 2 (mg/mL),Vitamin A (fraction),Vitamin B (fraction)
16,1,1,1,3,4,0,1,2,5,4,1,5,2,0,4,2,15511.66667,0.31023333340000003,2.430233333,0.12765578069700523,-0.8939595140523088,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
17,1,1,5,3,1,2,2,1,5,1,1,4,1,1,4,2,1715.0,0.0343,2.430233333,0.01411387109798975,-1.8503538532960606,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
18,1,1,2,1,1,1,1,3,3,1,3,5,1,3,4,2,4655.0,0.0931,2.430233333,0.038309078694543613,-1.4166982923574885,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
19,1,1,2,2,2,2,1,1,0,3,1,2,3,4,1,1,1576.666667,0.03153333334,2.430233333,0.01297543446211961,-1.8868780915648837,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
20,1,1,1,2,0,2,3,1,1,5,3,4,0,2,2,2,358.3333333,0.007166666665999999,2.430233333,0.002948962376856675,-2.530330768183288,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
21,1,1,2,5,5,2,3,0,1,4,3,0,3,2,2,3,6350.0,0.127,2.430233333,0.05225835654357721,-1.2818442523828741,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
22,1,1,5,5,5,1,1,2,1,5,3,3,4,1,3,1,1783.333333,0.03566666666,2.430233333,0.014676231362513371,-1.8333854504544604,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
23,1,1,1,1,0,0,1,3,4,0,1,2,1,1,4,0,1010.0,0.0202,2.430233333,0.008311959072285508,-2.0802966038922075,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
24,1,1,1,3,3,3,1,1,1,2,1,5,4,0,4,2,5591.666667,0.11183333334000001,2.430233333,0.046017529190066464,-1.3370767035275932,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
25,1,1,1,1,3,3,3,1,4,5,3,3,4,0,1,1,6221.666667,0.12443333334000001,2.430233333,0.051202216532185145,-1.2907112381089212,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
26,1,1,1,1,0,2,1,2,2,2,3,2,4,4,3,3,8018.333333,0.16036666666,2.430233333,0.06598817672459273,-1.1805338711739837,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
27,1,1,3,4,4,3,1,1,3,1,1,4,1,2,4,2,861.6666667,0.017233333333999998,2.430233333,0.007091225809468394,-2.1492786849477508,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
28,1,1,4,4,2,1,0,2,3,4,1,4,1,4,4,3,1533.333333,0.03066666666,2.430233333,0.012618815750561512,-1.89898140080735,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
29,1,1,2,2,4,0,0,0,4,2,2,2,2,4,2,3,4101.666667,0.08203333334000001,2.430233333,0.03375533214283339,-1.4716576143203968,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
30,1,1,1,0,2,3,0,3,3,3,0,5,2,2,0,2,6200.0,0.124,2.430233333,0.0510239071764061,-1.292226288176596,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
31,1,1,2,5,2,3,1,1,4,0,2,3,4,3,0,3,46856.66667,0.9371333333999999,2.430233333,0.38561455012352924,-0.41384658753076714,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
32,1,1,3,1,4,3,1,1,1,5,3,1,2,3,4,3,1418.333333,0.02836666666,2.430233333,0.011672404569063658,-1.9328396680759725,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
33,1,1,2,1,3,3,0,2,5,2,2,3,2,1,3,3,11903.33333,0.23806666659999998,2.430233333,0.09796041530963562,-1.0089493823233475,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
34,1,1,5,5,3,3,2,3,1,1,3,0,0,4,3,2,1371.666667,0.027433333339999998,2.430233333,0.011288353660319085,-1.9473693927406843,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
35,1,1,4,0,5,2,1,3,3,1,3,2,0,0,2,0,3225.0,0.0645,2.430233333,0.026540661394178978,-1.5760882587035634,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
36,1,1,2,5,2,1,1,1,3,0,2,2,4,1,4,3,5655.0,0.1131,2.430233333,0.04653874114235105,-1.3321853684133758,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
37,1,1,5,3,4,3,0,0,2,0,3,5,1,4,2,3,1815.0,0.0363,2.430233333,0.014936837342770494,-1.8257413483027185,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
38,1,1,4,3,1,2,3,2,5,2,3,5,1,4,1,2,4395.0,0.0879,2.430233333,0.03616936645811368,-1.4416590982650592,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
39,1,1,1,5,5,2,1,2,3,3,2,5,3,2,2,2,9835.0,0.1967,2.430233333,0.08093873017418612,-1.0918436134194944,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
40,1,1,1,1,5,3,0,0,2,2,1,5,4,2,3,2,3610.0,0.0722,2.430233333,0.02970908143658484,-1.527110775769192,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
41,1,1,4,2,2,3,2,3,2,2,3,1,4,2,0,2,700.0,0.014,2.430233333,0.005760763713465205,-2.239519937660593,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
42,1,1,3,0,2,0,1,3,5,1,2,1,4,1,3,3,730.0,0.0146,2.430233333,0.0060076535868994274,-2.221295117554394,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
43,1,1,0,4,2,2,2,2,1,5,2,1,1,2,1,1,7261.666667,0.14523333334000002,2.430233333,0.059761065477904884,-1.223581668102804,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
44,1,1,5,3,1,1,2,1,5,2,3,4,1,4,2,0,6076.666667,0.12153333334000001,2.430233333,0.05000891547725307,-1.3009525637157129,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
45,1,1,0,4,4,1,3,1,3,3,3,3,4,4,2,3,6246.666667,0.12493333334000001,2.430233333,0.051407958093380335,-1.288969645819578,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
46,1,1,1,0,3,1,1,1,0,4,2,2,4,1,2,1,8095.0,0.1619,2.430233333,0.06661911751500119,-1.1764011245854573,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
47,1,1,2,5,3,2,0,0,1,4,1,1,2,1,4,1,8245.0,0.1649,2.430233333,0.0678535668821723,-1.1684273176943123,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
48,1,1,1,0,5,2,0,3,0,5,1,2,4,1,4,3,10093.33333,0.2018666666,2.430233333,0.08306472627910416,-1.0805833617099034,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
49,1,1,2,3,0,3,1,3,3,4,0,5,2,1,1,2,2630.0,0.0526,2.430233333,0.021644012237733556,-1.664662229185092,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
